[Epoch 094] train_loss=-3.23227204 | score=0.94321641 | val_nll=-3.37039023 | val_acc=0.96160399 | val_dt_mae=1.76721330 | val_qty_mae=0.71544775 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 095] train_loss=-3.23522213 | score=0.93669873 | val_nll=-3.35880753 | val_acc=0.95507910 | val_dt_mae=1.76721330 | val_qty_mae=0.70823794 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 096] train_loss=-3.23693319 | score=0.94377449 | val_nll=-3.37629896 | val_acc=0.96212551 | val_dt_mae=1.76721330 | val_qty_mae=0.67888882 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 097] train_loss=-3.23954615 | score=0.94374054 | val_nll=-3.37794383 | val_acc=0.96205598 | val_dt_mae=1.76721330 | val_qty_mae=0.64330706 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 098] train_loss=-3.24082968 | score=0.94369411 | val_nll=-3.37754158 | val_acc=0.96203280 | val_dt_mae=1.76721330 | val_qty_mae=0.66655226 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 099] train_loss=-3.24308753 | score=0.94418819 | val_nll=-3.38252169 | val_acc=0.96256592 | val_dt_mae=1.76721330 | val_qty_mae=0.70558792 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 100] train_loss=-3.24532027 | score=0.94253351 | val_nll=-3.37735023 | val_acc=0.96093180 | val_dt_mae=1.76721330 | val_qty_mae=0.72614981 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 101] train_loss=-3.24773070 | score=0.94205552 | val_nll=-3.38052483 | val_acc=0.96044504 | val_dt_mae=1.76721330 | val_qty_mae=0.71738276 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 102] train_loss=-3.24934795 | score=0.94324480 | val_nll=-3.38372511 | val_acc=0.96161558 | val_dt_mae=1.76721330 | val_qty_mae=0.69864696 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 103] train_loss=-3.25127049 | score=0.94216872 | val_nll=-3.38524061 | val_acc=0.96059570 | val_dt_mae=1.76721330 | val_qty_mae=0.75484469 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 104] train_loss=-3.25296909 | score=0.94360517 | val_nll=-3.39040235 | val_acc=0.96203280 | val_dt_mae=1.76721330 | val_qty_mae=0.75549345 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 105] train_loss=-3.25427049 | score=0.94362787 | val_nll=-3.38669567 | val_acc=0.96200962 | val_dt_mae=1.76721330 | val_qty_mae=0.70961392 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 106] train_loss=-3.25655491 | score=0.94308102 | val_nll=-3.39071923 | val_acc=0.96152286 | val_dt_mae=1.76721330 | val_qty_mae=0.76970521 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 107] train_loss=-3.25860615 | score=0.94371862 | val_nll=-3.39368768 | val_acc=0.96205598 | val_dt_mae=1.76721330 | val_qty_mae=0.66522377 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
